# An edibble: 2,400 x 5
       participant   block    trial     selection       interface
           <U(12)> <U(60)> <U(240)>      <U(~2k)>          <T(4)>
             <chr>   <chr>    <chr>         <chr>           <chr>
  82 participant01 block03 trial009 selection0082 mouseringsingle
  83 participant01 block03 trial009 selection0083 mouseringsingle
  84 participant01 block03 trial009 selection0084 mouseringsingle
  85 participant01 block03 trial009 selection0085 mouseringsingle
  86 participant01 block03 trial009 selection0086 mouseringsingle
  87 participant01 block03 trial009 selection0087 mouseringsingle
  88 participant01 block03 trial009 selection0088 mouseringsingle
  89 participant01 block03 trial009 selection0089 mouseringsingle
  90 participant01 block03 trial009 selection0090 mouseringsingle
  91 participant01 block03 trial010 selection0091 mouseringdouble
  92 participant01 block03 trial010 selection0092 mouseringdouble
  93 participant01 block03 trial010 selection0093 mouseringdouble
  94 participant01 block03 trial010 selection0094 mouseringdouble
  95 participant01 block03 trial010 selection0095 mouseringdouble
  96 participant01 block03 trial010 selection0096 mouseringdouble
  97 participant01 block03 trial010 selection0097 mouseringdouble
  98 participant01 block03 trial010 selection0098 mouseringdouble
  99 participant01 block03 trial010 selection0099 mouseringdouble
 100 participant01 block03 trial010 selection0100 mouseringdouble
 101 participant01 block03 trial011 selection0101        touchpad
 102 participant01 block03 trial011 selection0102        touchpad
 103 participant01 block03 trial011 selection0103        touchpad
 104 participant01 block03 trial011 selection0104        touchpad
 105 participant01 block03 trial011 selection0105        touchpad
 106 participant01 block03 trial011 selection0106        touchpad
 107 participant01 block03 trial011 selection0107        touchpad
 108 participant01 block03 trial011 selection0108        touchpad
 109 participant01 block03 trial011 selection0109        touchpad
 110 participant01 block03 trial011 selection0110        touchpad
 111 participant01 block03 trial012 selection0111        airmouse
 112 participant01 block03 trial012 selection0112        airmouse
 113 participant01 block03 trial012 selection0113        airmouse
 114 participant01 block03 trial012 selection0114        airmouse
 115 participant01 block03 trial012 selection0115        airmouse
 116 participant01 block03 trial012 selection0116        airmouse
 117 participant01 block03 trial012 selection0117        airmouse
 118 participant01 block03 trial012 selection0118        airmouse
 119 participant01 block03 trial012 selection0119        airmouse
 120 participant01 block03 trial012 selection0120        airmouse
 121 participant01 block04 trial013 selection0121 mouseringdouble
 122 participant01 block04 trial013 selection0122 mouseringdouble
 123 participant01 block04 trial013 selection0123 mouseringdouble
 124 participant01 block04 trial013 selection0124 mouseringdouble
 125 participant01 block04 trial013 selection0125 mouseringdouble
 126 participant01 block04 trial013 selection0126 mouseringdouble
 127 participant01 block04 trial013 selection0127 mouseringdouble
 128 participant01 block04 trial013 selection0128 mouseringdouble
 129 participant01 block04 trial013 selection0129 mouseringdouble
 130 participant01 block04 trial013 selection0130 mouseringdouble
 131 participant01 block04 trial014 selection0131        touchpad
 132 participant01 block04 trial014 selection0132        touchpad
 133 participant01 block04 trial014 selection0133        touchpad
 134 participant01 block04 trial014 selection0134        touchpad
 135 participant01 block04 trial014 selection0135        touchpad
 136 participant01 block04 trial014 selection0136        touchpad
 137 participant01 block04 trial014 selection0137        touchpad
 138 participant01 block04 trial014 selection0138        touchpad
 139 participant01 block04 trial014 selection0139        touchpad
 140 participant01 block04 trial014 selection0140        touchpad
 141 participant01 block04 trial015 selection0141 mouseringsingle
 142 participant01 block04 trial015 selection0142 mouseringsingle
 143 participant01 block04 trial015 selection0143 mouseringsingle
 144 participant01 block04 trial015 selection0144 mouseringsingle
 145 participant01 block04 trial015 selection0145 mouseringsingle
 146 participant01 block04 trial015 selection0146 mouseringsingle
 147 participant01 block04 trial015 selection0147 mouseringsingle
 148 participant01 block04 trial015 selection0148 mouseringsingle
 149 participant01 block04 trial015 selection0149 mouseringsingle
 150 participant01 block04 trial015 selection0150 mouseringsingle
 151 participant01 block04 trial016 selection0151        airmouse
 152 participant01 block04 trial016 selection0152        airmouse
 153 participant01 block04 trial016 selection0153        airmouse
 154 participant01 block04 trial016 selection0154        airmouse
 155 participant01 block04 trial016 selection0155        airmouse
 156 participant01 block04 trial016 selection0156        airmouse
 157 participant01 block04 trial016 selection0157        airmouse
 158 participant01 block04 trial016 selection0158        airmouse
 159 participant01 block04 trial016 selection0159        airmouse
 160 participant01 block04 trial016 selection0160        airmouse
 161 participant01 block05 trial017 selection0161 mouseringdouble
 162 participant01 block05 trial017 selection0162 mouseringdouble
 163 participant01 block05 trial017 selection0163 mouseringdouble
 164 participant01 block05 trial017 selection0164 mouseringdouble
 165 participant01 block05 trial017 selection0165 mouseringdouble
 166 participant01 block05 trial017 selection0166 mouseringdouble
 167 participant01 block05 trial017 selection0167 mouseringdouble
 168 participant01 block05 trial017 selection0168 mouseringdouble
 169 participant01 block05 trial017 selection0169 mouseringdouble
 170 participant01 block05 trial017 selection0170 mouseringdouble
 171 participant01 block05 trial018 selection0171 mouseringsingle
 172 participant01 block05 trial018 selection0172 mouseringsingle
 173 participant01 block05 trial018 selection0173 mouseringsingle
 174 participant01 block05 trial018 selection0174 mouseringsingle
 175 participant01 block05 trial018 selection0175 mouseringsingle
 176 participant01 block05 trial018 selection0176 mouseringsingle
 177 participant01 block05 trial018 selection0177 mouseringsingle
 178 participant01 block05 trial018 selection0178 mouseringsingle
 179 participant01 block05 trial018 selection0179 mouseringsingle
 180 participant01 block05 trial018 selection0180 mouseringsingle
 181 participant01 block05 trial019 selection0181        touchpad
 182 participant01 block05 trial019 selection0182        touchpad
 183 participant01 block05 trial019 selection0183        touchpad
 184 participant01 block05 trial019 selection0184        touchpad
 185 participant01 block05 trial019 selection0185        touchpad
 186 participant01 block05 trial019 selection0186        touchpad
 187 participant01 block05 trial019 selection0187        touchpad
 188 participant01 block05 trial019 selection0188        touchpad
 189 participant01 block05 trial019 selection0189        touchpad
 190 participant01 block05 trial019 selection0190        touchpad
 191 participant01 block05 trial020 selection0191        airmouse
 192 participant01 block05 trial020 selection0192        airmouse
 193 participant01 block05 trial020 selection0193        airmouse
 194 participant01 block05 trial020 selection0194        airmouse
 195 participant01 block05 trial020 selection0195        airmouse
 196 participant01 block05 trial020 selection0196        airmouse
 197 participant01 block05 trial020 selection0197        airmouse
 198 participant01 block05 trial020 selection0198        airmouse
 199 participant01 block05 trial020 selection0199        airmouse
 200 participant01 block05 trial020 selection0200        airmouse
 201 participant02 block06 trial021 selection0201        airmouse
 202 participant02 block06 trial021 selection0202        airmouse
 203 participant02 block06 trial021 selection0203        airmouse
 204 participant02 block06 trial021 selection0204        airmouse
 205 participant02 block06 trial021 selection0205        airmouse
 206 participant02 block06 trial021 selection0206        airmouse
 207 participant02 block06 trial021 selection0207        airmouse
 208 participant02 block06 trial021 selection0208        airmouse
 209 participant02 block06 trial021 selection0209        airmouse
 210 participant02 block06 trial021 selection0210        airmouse
 211 participant02 block06 trial022 selection0211 mouseringdouble
 212 participant02 block06 trial022 selection0212 mouseringdouble
 213 participant02 block06 trial022 selection0213 mouseringdouble
 214 participant02 block06 trial022 selection0214 mouseringdouble
 215 participant02 block06 trial022 selection0215 mouseringdouble
 216 participant02 block06 trial022 selection0216 mouseringdouble
 217 participant02 block06 trial022 selection0217 mouseringdouble
 218 participant02 block06 trial022 selection0218 mouseringdouble
 219 participant02 block06 trial022 selection0219 mouseringdouble
 220 participant02 block06 trial022 selection0220 mouseringdouble
 221 participant02 block06 trial023 selection0221 mouseringsingle
 222 participant02 block06 trial023 selection0222 mouseringsingle
 223 participant02 block06 trial023 selection0223 mouseringsingle
 224 participant02 block06 trial023 selection0224 mouseringsingle
 225 participant02 block06 trial023 selection0225 mouseringsingle
 226 participant02 block06 trial023 selection0226 mouseringsingle
 227 participant02 block06 trial023 selection0227 mouseringsingle
 228 participant02 block06 trial023 selection0228 mouseringsingle
 229 participant02 block06 trial023 selection0229 mouseringsingle
 230 participant02 block06 trial023 selection0230 mouseringsingle
 231 participant02 block06 trial024 selection0231        touchpad
 232 participant02 block06 trial024 selection0232        touchpad
 233 participant02 block06 trial024 selection0233        touchpad
 234 participant02 block06 trial024 selection0234        touchpad
 235 participant02 block06 trial024 selection0235        touchpad
 236 participant02 block06 trial024 selection0236        touchpad
 237 participant02 block06 trial024 selection0237        touchpad
 238 participant02 block06 trial024 selection0238        touchpad
 239 participant02 block06 trial024 selection0239        touchpad
 240 participant02 block06 trial024 selection0240        touchpad
 241 participant02 block07 trial025 selection0241        touchpad
 242 participant02 block07 trial025 selection0242        touchpad
 243 participant02 block07 trial025 selection0243        touchpad
 244 participant02 block07 trial025 selection0244        touchpad
 245 participant02 block07 trial025 selection0245        touchpad
 246 participant02 block07 trial025 selection0246        touchpad
 247 participant02 block07 trial025 selection0247        touchpad
 248 participant02 block07 trial025 selection0248        touchpad
 249 participant02 block07 trial025 selection0249        touchpad
 250 participant02 block07 trial025 selection0250        touchpad
 251 participant02 block07 trial026 selection0251 mouseringdouble
 252 participant02 block07 trial026 selection0252 mouseringdouble
 253 participant02 block07 trial026 selection0253 mouseringdouble
 254 participant02 block07 trial026 selection0254 mouseringdouble
 255 participant02 block07 trial026 selection0255 mouseringdouble
 256 participant02 block07 trial026 selection0256 mouseringdouble
 257 participant02 block07 trial026 selection0257 mouseringdouble
 258 participant02 block07 trial026 selection0258 mouseringdouble
 259 participant02 block07 trial026 selection0259 mouseringdouble
 260 participant02 block07 trial026 selection0260 mouseringdouble
 261 participant02 block07 trial027 selection0261 mouseringsingle
 262 participant02 block07 trial027 selection0262 mouseringsingle
 263 participant02 block07 trial027 selection0263 mouseringsingle
 264 participant02 block07 trial027 selection0264 mouseringsingle
 265 participant02 block07 trial027 selection0265 mouseringsingle
 266 participant02 block07 trial027 selection0266 mouseringsingle
 267 participant02 block07 trial027 selection0267 mouseringsingle
 268 participant02 block07 trial027 selection0268 mouseringsingle
 269 participant02 block07 trial027 selection0269 mouseringsingle
 270 participant02 block07 trial027 selection0270 mouseringsingle
 271 participant02 block07 trial028 selection0271        airmouse
 272 participant02 block07 trial028 selection0272        airmouse
 273 participant02 block07 trial028 selection0273        airmouse
 274 participant02 block07 trial028 selection0274        airmouse
 275 participant02 block07 trial028 selection0275        airmouse
 276 participant02 block07 trial028 selection0276        airmouse
 277 participant02 block07 trial028 selection0277        airmouse
 278 participant02 block07 trial028 selection0278        airmouse
 279 participant02 block07 trial028 selection0279        airmouse
 280 participant02 block07 trial028 selection0280        airmouse
 281 participant02 block08 trial029 selection0281 mouseringdouble
 282 participant02 block08 trial029 selection0282 mouseringdouble
 283 participant02 block08 trial029 selection0283 mouseringdouble
 284 participant02 block08 trial029 selection0284 mouseringdouble
 285 participant02 block08 trial029 selection0285 mouseringdouble
 286 participant02 block08 trial029 selection0286 mouseringdouble
 287 participant02 block08 trial029 selection0287 mouseringdouble
 288 participant02 block08 trial029 selection0288 mouseringdouble
 289 participant02 block08 trial029 selection0289 mouseringdouble
 290 participant02 block08 trial029 selection0290 mouseringdouble
 291 participant02 block08 trial030 selection0291        touchpad
 292 participant02 block08 trial030 selection0292        touchpad
 293 participant02 block08 trial030 selection0293        touchpad
 294 participant02 block08 trial030 selection0294        touchpad
 295 participant02 block08 trial030 selection0295        touchpad
 296 participant02 block08 trial030 selection0296        touchpad
 297 participant02 block08 trial030 selection0297        touchpad
 298 participant02 block08 trial030 selection0298        touchpad
 299 participant02 block08 trial030 selection0299        touchpad
 300 participant02 block08 trial030 selection0300        touchpad
 301 participant02 block08 trial031 selection0301 mouseringsingle
 302 participant02 block08 trial031 selection0302 mouseringsingle
 303 participant02 block08 trial031 selection0303 mouseringsingle
 304 participant02 block08 trial031 selection0304 mouseringsingle
 305 participant02 block08 trial031 selection0305 mouseringsingle
 306 participant02 block08 trial031 selection0306 mouseringsingle
 307 participant02 block08 trial031 selection0307 mouseringsingle
 308 participant02 block08 trial031 selection0308 mouseringsingle
 309 participant02 block08 trial031 selection0309 mouseringsingle
 310 participant02 block08 trial031 selection0310 mouseringsingle
 311 participant02 block08 trial032 selection0311        airmouse
 312 participant02 block08 trial032 selection0312        airmouse
 313 participant02 block08 trial032 selection0313        airmouse
 314 participant02 block08 trial032 selection0314        airmouse
 315 participant02 block08 trial032 selection0315        airmouse
 316 participant02 block08 trial032 selection0316        airmouse
 317 participant02 block08 trial032 selection0317        airmouse
 318 participant02 block08 trial032 selection0318        airmouse
 319 participant02 block08 trial032 selection0319        airmouse
 320 participant02 block08 trial032 selection0320        airmouse
 321 participant02 block09 trial033 selection0321 mouseringsingle
 322 participant02 block09 trial033 selection0322 mouseringsingle
 323 participant02 block09 trial033 selection0323 mouseringsingle
 324 participant02 block09 trial033 selection0324 mouseringsingle
 325 participant02 block09 trial033 selection0325 mouseringsingle
 326 participant02 block09 trial033 selection0326 mouseringsingle
 327 participant02 block09 trial033 selection0327 mouseringsingle
 328 participant02 block09 trial033 selection0328 mouseringsingle
 329 participant02 block09 trial033 selection0329 mouseringsingle
 330 participant02 block09 trial033 selection0330 mouseringsingle
 331 participant02 block09 trial034 selection0331        touchpad
 332 participant02 block09 trial034 selection0332        touchpad
 333 participant02 block09 trial034 selection0333        touchpad
 334 participant02 block09 trial034 selection0334        touchpad
 335 participant02 block09 trial034 selection0335        touchpad
 336 participant02 block09 trial034 selection0336        touchpad
 337 participant02 block09 trial034 selection0337        touchpad
 338 participant02 block09 trial034 selection0338        touchpad
 339 participant02 block09 trial034 selection0339        touchpad
 340 participant02 block09 trial034 selection0340        touchpad
 341 participant02 block09 trial035 selection0341        airmouse
 342 participant02 block09 trial035 selection0342        airmouse
 343 participant02 block09 trial035 selection0343        airmouse
 344 participant02 block09 trial035 selection0344        airmouse
 345 participant02 block09 trial035 selection0345        airmouse
 346 participant02 block09 trial035 selection0346        airmouse
 347 participant02 block09 trial035 selection0347        airmouse
 348 participant02 block09 trial035 selection0348        airmouse
 349 participant02 block09 trial035 selection0349        airmouse
 350 participant02 block09 trial035 selection0350        airmouse
 351 participant02 block09 trial036 selection0351 mouseringdouble
 352 participant02 block09 trial036 selection0352 mouseringdouble
 353 participant02 block09 trial036 selection0353 mouseringdouble
 354 participant02 block09 trial036 selection0354 mouseringdouble
 355 participant02 block09 trial036 selection0355 mouseringdouble
 356 participant02 block09 trial036 selection0356 mouseringdouble
 357 participant02 block09 trial036 selection0357 mouseringdouble
 358 participant02 block09 trial036 selection0358 mouseringdouble
 359 participant02 block09 trial036 selection0359 mouseringdouble
 360 participant02 block09 trial036 selection0360 mouseringdouble
 361 participant02 block10 trial037 selection0361 mouseringdouble
 362 participant02 block10 trial037 selection0362 mouseringdouble
 363 participant02 block10 trial037 selection0363 mouseringdouble
 364 participant02 block10 trial037 selection0364 mouseringdouble
 365 participant02 block10 trial037 selection0365 mouseringdouble
 366 participant02 block10 trial037 selection0366 mouseringdouble
 367 participant02 block10 trial037 selection0367 mouseringdouble
 368 participant02 block10 trial037 selection0368 mouseringdouble
 369 participant02 block10 trial037 selection0369 mouseringdouble
 370 participant02 block10 trial037 selection0370 mouseringdouble
 371 participant02 block10 trial038 selection0371        touchpad
 372 participant02 block10 trial038 selection0372        touchpad
 373 participant02 block10 trial038 selection0373        touchpad
 374 participant02 block10 trial038 selection0374        touchpad
 375 participant02 block10 trial038 selection0375        touchpad
 376 participant02 block10 trial038 selection0376        touchpad
 377 participant02 block10 trial038 selection0377        touchpad
 378 participant02 block10 trial038 selection0378        touchpad
 379 participant02 block10 trial038 selection0379        touchpad
 380 participant02 block10 trial038 selection0380        touchpad
 381 participant02 block10 trial039 selection0381 mouseringsingle
 382 participant02 block10 trial039 selection0382 mouseringsingle
 383 participant02 block10 trial039 selection0383 mouseringsingle
 384 participant02 block10 trial039 selection0384 mouseringsingle
 385 participant02 block10 trial039 selection0385 mouseringsingle
 386 participant02 block10 trial039 selection0386 mouseringsingle
 387 participant02 block10 trial039 selection0387 mouseringsingle
 388 participant02 block10 trial039 selection0388 mouseringsingle
 389 participant02 block10 trial039 selection0389 mouseringsingle
 390 participant02 block10 trial039 selection0390 mouseringsingle
 391 participant02 block10 trial040 selection0391        airmouse
 392 participant02 block10 trial040 selection0392        airmouse
 393 participant02 block10 trial040 selection0393        airmouse
 394 participant02 block10 trial040 selection0394        airmouse
 395 participant02 block10 trial040 selection0395        airmouse
 396 participant02 block10 trial040 selection0396        airmouse
 397 participant02 block10 trial040 selection0397        airmouse
 398 participant02 block10 trial040 selection0398        airmouse
 399 participant02 block10 trial040 selection0399        airmouse
 400 participant02 block10 trial040 selection0400        airmouse
 401 participant03 block11 trial041 selection0401        touchpad
 402 participant03 block11 trial041 selection0402        touchpad
 403 participant03 block11 trial041 selection0403        touchpad
 404 participant03 block11 trial041 selection0404        touchpad
 405 participant03 block11 trial041 selection0405        touchpad
 406 participant03 block11 trial041 selection0406        touchpad
 407 participant03 block11 trial041 selection0407        touchpad
 408 participant03 block11 trial041 selection0408        touchpad
 409 participant03 block11 trial041 selection0409        touchpad
 410 participant03 block11 trial041 selection0410        touchpad
 411 participant03 block11 trial042 selection0411 mouseringsingle
 412 participant03 block11 trial042 selection0412 mouseringsingle
 413 participant03 block11 trial042 selection0413 mouseringsingle
 414 participant03 block11 trial042 selection0414 mouseringsingle
 415 participant03 block11 trial042 selection0415 mouseringsingle
 416 participant03 block11 trial042 selection0416 mouseringsingle
 417 participant03 block11 trial042 selection0417 mouseringsingle
 418 participant03 block11 trial042 selection0418 mouseringsingle
 419 participant03 block11 trial042 selection0419 mouseringsingle
 420 participant03 block11 trial042 selection0420 mouseringsingle
 421 participant03 block11 trial043 selection0421        airmouse
 422 participant03 block11 trial043 selection0422        airmouse
 423 participant03 block11 trial043 selection0423        airmouse
 424 participant03 block11 trial043 selection0424        airmouse
 425 participant03 block11 trial043 selection0425        airmouse
 426 participant03 block11 trial043 selection0426        airmouse
 427 participant03 block11 trial043 selection0427        airmouse
 428 participant03 block11 trial043 selection0428        airmouse
 429 participant03 block11 trial043 selection0429        airmouse
 430 participant03 block11 trial043 selection0430        airmouse
 431 participant03 block11 trial044 selection0431 mouseringdouble
 432 participant03 block11 trial044 selection0432 mouseringdouble
 433 participant03 block11 trial044 selection0433 mouseringdouble
 434 participant03 block11 trial044 selection0434 mouseringdouble
 435 participant03 block11 trial044 selection0435 mouseringdouble
 436 participant03 block11 trial044 selection0436 mouseringdouble
 437 participant03 block11 trial044 selection0437 mouseringdouble
 438 participant03 block11 trial044 selection0438 mouseringdouble
 439 participant03 block11 trial044 selection0439 mouseringdouble
 440 participant03 block11 trial044 selection0440 mouseringdouble
 441 participant03 block12 trial045 selection0441        airmouse
 442 participant03 block12 trial045 selection0442        airmouse
 443 participant03 block12 trial045 selection0443        airmouse
 444 participant03 block12 trial045 selection0444        airmouse
 445 participant03 block12 trial045 selection0445        airmouse
 446 participant03 block12 trial045 selection0446        airmouse
 447 participant03 block12 trial045 selection0447        airmouse
 448 participant03 block12 trial045 selection0448        airmouse
 449 participant03 block12 trial045 selection0449        airmouse
 450 participant03 block12 trial045 selection0450        airmouse
 451 participant03 block12 trial046 selection0451 mouseringdouble
 452 participant03 block12 trial046 selection0452 mouseringdouble
 453 participant03 block12 trial046 selection0453 mouseringdouble
 454 participant03 block12 trial046 selection0454 mouseringdouble
 455 participant03 block12 trial046 selection0455 mouseringdouble
 456 participant03 block12 trial046 selection0456 mouseringdouble
 457 participant03 block12 trial046 selection0457 mouseringdouble
 458 participant03 block12 trial046 selection0458 mouseringdouble
 459 participant03 block12 trial046 selection0459 mouseringdouble
 460 participant03 block12 trial046 selection0460 mouseringdouble
 461 participant03 block12 trial047 selection0461        touchpad
 462 participant03 block12 trial047 selection0462        touchpad
 463 participant03 block12 trial047 selection0463        touchpad
 464 participant03 block12 trial047 selection0464        touchpad
 465 participant03 block12 trial047 selection0465        touchpad
 466 participant03 block12 trial047 selection0466        touchpad
 467 participant03 block12 trial047 selection0467        touchpad
 468 participant03 block12 trial047 selection0468        touchpad
 469 participant03 block12 trial047 selection0469        touchpad
 470 participant03 block12 trial047 selection0470        touchpad
 471 participant03 block12 trial048 selection0471 mouseringsingle
 472 participant03 block12 trial048 selection0472 mouseringsingle
 473 participant03 block12 trial048 selection0473 mouseringsingle
 474 participant03 block12 trial048 selection0474 mouseringsingle
 475 participant03 block12 trial048 selection0475 mouseringsingle
 476 participant03 block12 trial048 selection0476 mouseringsingle
 477 participant03 block12 trial048 selection0477 mouseringsingle
 478 participant03 block12 trial048 selection0478 mouseringsingle
 479 participant03 block12 trial048 selection0479 mouseringsingle
 480 participant03 block12 trial048 selection0480 mouseringsingle
 481 participant03 block13 trial049 selection0481        touchpad
 482 participant03 block13 trial049 selection0482        touchpad
 483 participant03 block13 trial049 selection0483        touchpad
 484 participant03 block13 trial049 selection0484        touchpad
 485 participant03 block13 trial049 selection0485        touchpad
 486 participant03 block13 trial049 selection0486        touchpad
 487 participant03 block13 trial049 selection0487        touchpad
 488 participant03 block13 trial049 selection0488        touchpad
 489 participant03 block13 trial049 selection0489        touchpad
 490 participant03 block13 trial049 selection0490        touchpad
 491 participant03 block13 trial050 selection0491 mouseringdouble
 492 participant03 block13 trial050 selection0492 mouseringdouble
 493 participant03 block13 trial050 selection0493 mouseringdouble
 494 participant03 block13 trial050 selection0494 mouseringdouble
 495 participant03 block13 trial050 selection0495 mouseringdouble
 496 participant03 block13 trial050 selection0496 mouseringdouble
 497 participant03 block13 trial050 selection0497 mouseringdouble
 498 participant03 block13 trial050 selection0498 mouseringdouble
 499 participant03 block13 trial050 selection0499 mouseringdouble
 500 participant03 block13 trial050 selection0500 mouseringdouble
 501 participant03 block13 trial051 selection0501        airmouse
 502 participant03 block13 trial051 selection0502        airmouse
 503 participant03 block13 trial051 selection0503        airmouse
 504 participant03 block13 trial051 selection0504        airmouse
 505 participant03 block13 trial051 selection0505        airmouse
 506 participant03 block13 trial051 selection0506        airmouse
 507 participant03 block13 trial051 selection0507        airmouse
 508 participant03 block13 trial051 selection0508        airmouse
 509 participant03 block13 trial051 selection0509        airmouse
 510 participant03 block13 trial051 selection0510        airmouse
 511 participant03 block13 trial052 selection0511 mouseringsingle
 512 participant03 block13 trial052 selection0512 mouseringsingle
 513 participant03 block13 trial052 selection0513 mouseringsingle
 514 participant03 block13 trial052 selection0514 mouseringsingle
 515 participant03 block13 trial052 selection0515 mouseringsingle
 516 participant03 block13 trial052 selection0516 mouseringsingle
 517 participant03 block13 trial052 selection0517 mouseringsingle
 518 participant03 block13 trial052 selection0518 mouseringsingle
 519 participant03 block13 trial052 selection0519 mouseringsingle
 520 participant03 block13 trial052 selection0520 mouseringsingle
 521 participant03 block14 trial053 selection0521 mouseringdouble
 522 participant03 block14 trial053 selection0522 mouseringdouble
 523 participant03 block14 trial053 selection0523 mouseringdouble
 524 participant03 block14 trial053 selection0524 mouseringdouble
 525 participant03 block14 trial053 selection0525 mouseringdouble
 526 participant03 block14 trial053 selection0526 mouseringdouble
 527 participant03 block14 trial053 selection0527 mouseringdouble
 528 participant03 block14 trial053 selection0528 mouseringdouble
 529 participant03 block14 trial053 selection0529 mouseringdouble
 530 participant03 block14 trial053 selection0530 mouseringdouble
 531 participant03 block14 trial054 selection0531        touchpad
 532 participant03 block14 trial054 selection0532        touchpad
 533 participant03 block14 trial054 selection0533        touchpad
 534 participant03 block14 trial054 selection0534        touchpad
 535 participant03 block14 trial054 selection0535        touchpad
 536 participant03 block14 trial054 selection0536        touchpad
 537 participant03 block14 trial054 selection0537        touchpad
 538 participant03 block14 trial054 selection0538        touchpad
 539 participant03 block14 trial054 selection0539        touchpad
 540 participant03 block14 trial054 selection0540        touchpad
 541 participant03 block14 trial055 selection0541 mouseringsingle
